문장,분류,인식,기대
하이닉스 2차 매각협상 타결..가격 2.6만원,0,0,0
"쌀, 고춧가루, 돼지고기는 공급난으로 계속 오를 듯 김용래 기자 = 주요 생활필수품 가격이 하루가 멀게 오르고 있어 서민의 물가부담을 가중하고 있다.",2,3,3
"3월 대선 이후 물가급등…""스태그플레이션 망령""문제는 3.9대선 이후다.",1,0,3
강압적인 상황에서 바가지요금을 결제했는지를 입증하기란 현실적으로 곤란하므로 애당초 호객꾼이 이끄는 곳은 이용하지 않는 편이 좋다고 금감원은 조언했다.,12,3,0
"서울 지역의 주간 휘발유 가격은 지난주보다 ℓ당 15.09원 내린 2014.52원을 기록, 5주 연속 하락했다.",8,1,0
/뉴스1 김동규 기자 = 전북 무주군이 종량제봉투 판매가격 인상을 1년 유예하기로 했다.,5,2,3
"13일 코트라 후쿠오카무역관에 따르면 빵, 초콜릿, 소스 등 대기업 주력제품들이 7월 이후 일제히 가격이 오른다.",2,2,3
보고서는 그러나 최근 기록적인 수준까지 치솟았던 쌀과 옥수수 및 콩 등 주요 곡물 가격이 단기적으로는 상대적인 약세를 보일 것이라고 내다봤다.,14,3,1
토요타측은 '운전하는 즐거움'을 체험할 수 있도록 동급 최고 수준의 옵션을 탑재했으면서도 이전 세대보다 가격을 10만원 낮춘 4천790만원으로 책정했다고 설명했다.,8,1,0
11일 파이낸셜타임스에 따르면 가트너 리서치 컨설턴시는 올해 컴퓨터용 반도체 부품가격이 2.8% 오를 것으로 내다봤다.,17,0,3
"신흥증권 이주병 연구원은 ""상장사 프리미엄, 보루네오가구의 브랜드와 영업망을 감안할 경우 400억원대는 지나치게 싼 가격이어서 캠코SG인베스터스가 보유한 지분 모두를 넘기는 조건이 아닌 계약일 가능성도 크다""고 말했다.",0,0,0
"반면 LPG업계는 환경문제 등을 고려할 때 정부의 세제개편은 합리적이라며 환영 하는 가운데 경유 승용차 도입 이전에 정부가 빨리 가격을 확정, 소비자들의 혼란을 최소화해야 한다는 입장을 보이고 있다.",8,0,0
판매가 대당 2만2936弗작년 같은 기간보다 3.3%↑…판매촉진 인센티브도 32%↓국내 시장과 비교해 미국에서 상대적으로 싼값에 차를 판다는 지적을 받아온 현대·기아차가 올 들어 현지 대당 거래가격이 상승하는 등 제값 받기 노력이 결실을 거두고 있다.,7,3,0
"그러나 코로나19 사태로 시장 전반에 투매 현상이 나타나면서 금값도 최근 하락세를 지속, 주간 단위로 2주 연속 하락세를 기록했다.",16,1,0
"위안화 무역결제 경험이 없는 응답기업 중 45%는 향후 국제무역 결제수단으로 위안화를 채택할 계획이 있다고 답했으며, 33%는 가격이나 은행 서비스에 따라 위안화 사용 여부를 고려해보겠다고 밝혔다.",0,0,0
싱싱한 딸기를 값싸게 먹을 수 있는 대도시 판촉전은 소비자에게도 인기입니다.,2,1,0
"포장크기 줄이고 가격 낮춰 오리온이 비스킷과 껌 제품의 가격대비 만족도, 이른바 '가성비'를 높였다.",2,1,0
국내 온라인쇼핑몰 10개사와 중국 등 해외 10개국 현지 온라인쇼핑몰 20개사가 참여해 우리 제품을 해외 소비자에게 할인된 가격으로 판매할 계획이다.,0,0,0
리뉴얼된 엣지 3종의 맛과 타르 함량은 기존 제품과 동일하며 가격 또한 기존과 같이 갑당 2500원이다.,3,2,0
직수형 ‘큐브제로' 냉정수기는 냉수와 정수 사용 빈도가 높은 소비자들에게 합리적인 가격으로 제공하기 위해 출시됐다.,6,0,0
전날 조정을 받았던 인터넷 3인방에 이어 핸디소프트 로커스 등 다른 주요 벤처종목들도 가격제한폭까지 올랐다.,16,3,0
■ 해설 bargaining을 한 후에 일어날 수 있는 일은 양측이 동의할 만한 수준의 가격대를 찾는 것이다.,0,0,0
"황경주 LG전자 모바일커뮤니케이션사업본부 한국사업부 상무는 ""이달 말 KTF를 통해 선보일 폴더형 3세대 휴대폰은 소비자에게 꼭 필요한 기능만 담아 저렴하게 만들었다""며 ""공급 가격은 30만원대가 될 것""이라고 말했다.",9,0,1
"OCI, 폴리실리콘 가격 강세 지속-교보",17,3,0
