날짜	제목	언론사명	본문	URL
20220901	"""주식 팔고 대피""…두달새 46조, 은행 예·적금에 '뭉칫돈'"	머니투데이	"김영운 기자 = 지난 2분기 가계 빚이 사상 최대를 기록한 가운데 24일 오전 경기 수원시 장안구의 한 도로변에 은행 예금 금리 광고 현수막이 걸려 있다. 한국은행이 23일 펴낸 '2022년 2분기 가계신용'에 따르면 지난 2분기 기준 가계신용 잔액은 1869조4000억원으로 통계 작성이 시작된 2003년 이래 가장 큰 규모다. 이에 따라 국내 가계신용은 2013년 2분기 이후 37분기 연속 증가세를 이어간 것이 됐다. 2022.8.24/뉴스1 Copyright 뉴스1. All rights reserved. 무단 전재 및 재배포 금지.올 들어 5대 은행 정기 예·적금에 80조원에 육박하는 뭉칫돈이 유입됐다. 주식과 가상자산 등 위험자산에서 빠져 나온 돈이 안전처를 찾아 은행 예·적금으로 몰린 것이다. 통화 긴축과 금리 상승 기조가 내년까지 이어질 것이란 예상이 많아 '역머니무브' 현상은 더욱 또렷해질 전망이다. 1일 은행권에 따르면, KB국민·신한·하나·우리·NH농협은행 등 5대 은행의 8월 말 정기 예·적금 잔액은 768조5434억원으로 한달 사이 17조9776억원 늘었다. 7월 한 달간 28조56억원이 증가한 데 이어 두 달새 46조원의 시중자금이 은행 계좌로 들어간 것이다. 앞서 한국은행은 물가 상승 압력 완화를 위해 지난 7월 '빅스텝'과 함께 지난달 25일에도 기준금리를 추가 인상했다. 은행들이 기준금리 인상분을 반영해 저축성 수신 금리를 잇따라 상향 조정하자 은행으로 뭉칫돈이 몰리고 있는 것으로 보인다. 올 들어 8개월 간 5대 은행 예·적금 증가액은 78조5068억원으로 집계됐다. 한 달 평균 10조원씩 늘어난 셈이다. 은행 수신고가 채워지는 사이 가계대출은 8개월 연속 감소했다. 5대 은행의 지난달 말 가계대출 잔액은 696조4509억원으로 전월말보다 9867억원 감소했다. 지난 1월부터 8개월째 감소세다. 지난해 말과 견주면 12조6020억원 줄었다. 7월 말보다 주택담보대출 잔액은 6219억원 늘었으나 신용대출이 1조2117억원 감소했다. 5대 은행의 주택담보대출 금리는 최근 최상단금리가 6% 중반대로 치솟는 등 7%를 조만간 넘어설 것이란 예상이 나온다. 기준금리 인상으로 은행 예·적금 금리도 4%를 곧 돌파할 전망이다. 시중은행 관계자는 ""가파른 금리 상승과 부동산· 증시 침체로 투자할 곳이 마땅치 않아 대출 감소세가 이어지고 있다""며 ""연말까지 한은의 추가 기준금리 인상이 예고돼 있고 내년까지도 금리 인상 기조가 이어질 수 있어 안전자산 선호 심리는 더욱 강화될 것""이라고 말했다."	https://n.news.naver.com/mnews/article/008/0004790233?sid=101
20220901	2분기 경제성장률 0.7%…수출 줄었지만 민간소비로 버텨	연합뉴스	민간소비 2.9%, 속보치보다 0.1%p↓…수출 -3.1% 2분기 실질 국민총소득 1.3% 감소…교역조건 악화 등 영향 서울 시내 옷 가게 ※기사와 직접적인 관련이 없습니다. 신호경 기자 = 사회적 거리두기 해제로 민간 소비가 늘어나면서 2분기 한국 경제가 0.7% 성장했다. 하지만 지금까지 성장을 이끌어온 수출은 글로벌 경기 둔화 등의 영향으로 3% 이상 뒷걸음쳤다. 한국은행은 올해 2분기 실질 국내총생산 성장률이 0.7%로 집계됐다고 1일 발표했다. 앞서 7월 26일 공개된 속보치와 같다. 분기별 성장률은 코로나19 발생과 함께 2020년 1분기와 2분기 마이너스를 기록한 뒤 3분기, 4분기와 2021년 1분기, 2분기, 3분기, 4분기, 올해 1분기에 이어 이번까지 8개 분기 연속 성장세를 유지했다. 경제성장률 추이 김영은 기자 = 0eun@yna.co.kr 트위터 @yonhap_graphics 페이스북 tuney.kr/LeYN1 국내총생산 부문별 추이 2분기 성장률을 부문별로 보면, 민간소비가 의류 등 준내구재와 오락문화·음식숙박 등 서비스를 중심으로 2.9% 증가했다. 설비투자의 경우 운송장비는 줄었지만 기계류가 늘면서 전체적으로 0.5% 성장했다. 건설투자 역시 건물건설 위주로 0.2% 증가했다. 정부 소비도 사회보장 현물수혜 등의 영향으로 0.7% 늘었다. 하지만 수출과 수입은 각 화학제품·1차 금속제품, 원유·천연가스 등을 중심으로 3.1%, 1.0%씩 감소했다. 속보치와 비교하면 민간소비·정부 소비·건설투자 성장률이 각 0.1%포인트, 0.4%포인트, 0.4%포인트 하향 조정됐지만, 설비투자는 1.5%포인트 오히려 높아졌다. 2분기 성장률에 대한 민간소비, 정부 소비의 기여도는 각 1.3%포인트, 0.1%포인트로 분석됐다. 그만큼 소비가 2분기 성장률을 높였다는 뜻이다. 반대로 순수출은 성장률을 1.0%포인트 끌어내렸다. 업종별 성장률은 ▲ 서비스업 1.8% ▲ 건설업 -0.1% ▲ 전기·가스·수도업 -0.6% ▲ 제조업 -0.7% ▲ 농림어업 -8.7% 등이었다. 특히 서비스업 가운데 숙박·음식점, 운수업 등의 상승 폭이 컸다. 2분기 실질 국민총소득은 1.3% 감소했다. 실질 국외순수취요소소득이 5조3천억원에서 4조4천억원으로 줄어든데다 교역조건 악화로 실질 무역 손실도 19조원에서 28조원으로 커지면서 실질 GDP 성장률을 큰 폭으로 밑돌았다는 게 한은의 설명이다. 총저축률은 34.2%로 1분기보다 1.5%포인트 떨어졌다. 국민총처분가능소득 증가율보다 최종 소비지출 증가율이 더 높았기 때문이다. shk999@yna.co.kr	https://n.news.naver.com/mnews/article/001/0013411597?sid=101
20220901	전·현직 경제관료, 책임론 다시 불붙나	서울신문	추경호·김주현 등 의사결정 참여한덕수는 론스타측 김앤장 고문 정부, 론스타 요구 6조원 중 2천925억 배상…ISDS 판정 - 대한민국 정부가 외국계 사모펀드 론스타와의 국제투자 분쟁 끝에 요구액 약 6조원 중 약 2천925억원을 배상하라는 국제기구의 판정이 나왔다. 분쟁 시작 10년 만에 나온 결과다. 법무부는 31일 세계은행 국제투자분쟁해결센터의 론스타 사건 중재 판정부가 우리 정부에 론스타가 청구한 손해배상금의 4.6%인 2억1천650만달러를 지급하라고 판정했다고 밝혔다. 사진은 지난 2010년 11월 25일 하나금융지주 김승유 회장과 론스타 존 그레이컨 회장이 영국 런던 시내 그로버너 호텔에서 외환은행 주식매매계약 체결식을 마친뒤 악수하고 있는 모습. 2022.8.31 연합뉴스 자료사진외환은행 인수·매각에 투자자·국가분쟁해결제도 소송까지 20년간 지속된 우리 정부와 미국계 사모펀드 론스타의 악연이 31일 마침표를 찍었다. 이날 내려진 세계은행 국제투자분쟁해결센터의 판정을 계기로 론스타의 외환은행 인수·매각 과정에 관여한 전·현직 관료에 대한 책임론도 다시 불붙을 것으로 보인다. 론스타는 2003년 외환은행을 인수한 뒤 4조원이 넘는 배당·매각 이익을 챙기고 2012년 한국 시장을 떠났다. 이 기간 동안 수많은 경제 관료들이 ‘론스타 사태’ 관련 업무를 했다. 추경호 경제부총리 겸 기획재정부 장관, 김주현 금융위원장, 이창용 한국은행 총재 등 현 정부의 금융·재정·통화당국 수장들도 모두 연관돼 있다. 이를테면 2010년 11월 론스타와 하나금융의 외환은행 매매계약 체결 이후부터 2012년 1월 인수를 최종적으로 승인할 당시 금융위원장은 김석동 법무법인 지평 고문, 부위원장은 추 부총리, 사무처장은 김 위원장이었다. 중재 판정부는 이 계약과 관련해 “외환은행 매각 가격이 인하될 때까지 승인을 지연한 행위는 공정·공평대우 의무 위반에 해당한다”고 판단했다. 이 총재는 금융위 부위원장 재직 시절인 2008년 론스타의 산업자본 여부를 제때 판단하지 않았다는 비판을 받는다. 은행법에 따라 산업자본은 4%를 초과하는 주식에 대한 의결권을 행사할 수 없고, 주식을 매각해야 한다. 이번 소송의 판단 대상은 아니었지만, 2003년 외환은행을 헐값으로 넘긴 것이 사태의 단초를 제공했다는 비판도 재점화되는 분위기다. 추 부총리는 2003년 재정경제부 은행제도과장으로 외환은행 매각 과정에도 관여했다. 한덕수 국무총리는 당시 론스타의 법률대리를 맡은 김앤장의 고문이었다. 한편 2012년 이후 론스타 등 해외 투자자들이 우리 정부를 상대로 제기한 ISDS 소송 10건 중 론스타를 제외한 3건은 절차가 종료됐고, 미국계 헤지펀드인 엘리엇이 제기한 7억 7000만 달러 규모의 소송 등 6건이 현재 진행 중이다. 정식 중재 제기 전 중재의향서가 제출된 7건 중 합의 종료된 1건을 빼면, 나머지는 추가 소송이 제기될 가능성이 있다.	https://n.news.naver.com/mnews/article/081/0003298476?sid=101
20220901	잇단 금리 인상에...서울 아파트값 3년 7개월 만에 최대 하락	ytn	금리 인상과 거래 침체 여파로 서울을 비롯한 수도권 아파트값 하락 폭이 확대됐습니다. 서울은 3년 7개월 만에 가장 큰 폭으로 하락했습니다. 한국부동산원에 따르면 이번 주 서울 아파트값은 지난주 대비 0.13% 떨어졌습니다. 지난주 0.11% 떨어진 것에 비해 낙폭이 커진 것이면서 2019년 1월 28일 조사 이후 주간 변동률로는 가장 크게 하락한 것입니다. 한국은행이 지난주 0.25%포인트의 금리 인상을 단행한 데다 연말까지 추가 인상을 예고하면서 집값 하락세가 본격화되는 모습입니다. 경기도와 인천은 각각 0.21%, 0.29% 떨어져 지난주보다 낙폭이 커졌습니다. 이에 따라 수도권 전체 아파트값도 지난주 -0.18%에서 금주 -0.20%로 더 많이 떨어졌습니다. 전세시장도 약세가 지속하며 수도권의 경우 0.2% 내리며 부동산원이 2012년 5월 통계를 작성 이후 최대 하락 폭을 기록했습니다. 서울 아파트 전셋값은 0.09% 하락해 지난주보다 하락폭이 커졌고 인천은 -0.30%에서 -0.34%로, 경기도는 -0.21%에서 -0.22%로 낙폭이 각각 확대됐습니다. ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 social@ytn.co.kr	https://n.news.naver.com/mnews/article/052/0001784097?sid=101
20220901	무역적자 100억弗 육박… 66년 만에 최대치	세계일보	14년 만에 5개월 연속 적자반도체·대중수출 뒷걸음 탓소비 힘입어 2분기 성장 0.7%원·달러 환율 1354.9원 마감우리나라 무역적자가 100억달러에 육박하며 66년 만에 최대를 기록했다. 고유가 상황이 장기화하는 가운데 주력 상품인 반도체 수출이 뒷걸음질쳤고, 최대 교역국인 중국에 대한 수출도 감소하는 등 악재가 심상치 않다. 여기에 무역적자 확대 영향으로 원·달러 환율은 하루 만에 연고점을 경신하면서 금융위기 이후 가장 높은 수준까지 올랐다. 악재가 첩첩산중인 상황에도 그나마 민간 소비 증가에 힘입어 2분기 한국 경제는 0.7% 성장하며 가까스로 버텼다. 1일 부산항 신선대 부두 야적장에 컨테이너가 쌓여있다. 연합뉴스 1일 산업통상자원부에 따르면 올해 8월 수출액은 566억7000만달러, 수입액은 661억5000만달러를 기록했다. 각각 지난해 동월 대비 6.6%, 28.2% 증가한 수준이다. 이로써 무역적자는 94억7000만달러로, 무역수지 통계가 작성되기 시작한 1956년 이후 66년 만에 최대치를 기록했다. 무역수지는 지난 4월부터 5개월 연속 적자 행진을 이어갔다. 5개월 연속 적자는 2007년 12월∼2008년 4월 이후 약 14년 만이다. 원유·가스·석탄 등 에너지원 수입액은 전년 동월 대비 88억6000만달러 폭증한 185억2000만달러를 기록하며 수입 증가세를 주도했다. 수출액은 8월 기준 역대 최고 실적을 기록하며 22개월 연속 증가세를 이어갔다. 반면, 수출 비중 1위를 차지하는 반도체는 글로벌 수요 약화와 가격 하락 등으로 지난해 동월 대비 7.8% 감소한 107억8000만달러를 기록했다. 반도체 수출액의 마이너스 성장은 26개월 만에 처음이다. 지역별 수출 증가율은 동남아국가연합 21.7%, 미국 13.7%, 유럽연합 7.3% 등이다. 이에 반해 최대 교역국인 대중국 수출은 -5.4%를 기록했다. 중국의 봉쇄 정책 장기화로 회복이 지연됨에 따라 반도체, 무선통신 품목 등 수출이 감소한 영향이다. 사회적 거리두기 해제 이후 민간 소비에 힘입어 올해 2분기 한국 경제는 무역수지 악재를 딛고 0.7% 성장했다. 한국은행은 올해 2분기 실질 국내총생산 성장률이 0.7%로 집계됐다고 발표했다. 한은 관계자는 “3분기와 4분기에 0.1∼0.2%씩 성장하면 올해 성장률 전망치에 도달할 수 있을 것”이라고 밝혔다. 이날 서울 외환시장에서 달러 대비 원화 환율은 전날 종가보다 17.3원 오른 달러당 1354.9원에 거래를 마쳤다. 환율은 이날 4.4원 오른 1342.0원에 개장해 12시50분 1355.1원까지 고점을 높였다. 이날 환율은 고가 기준으로 2009년 4월29일 이후, 종가 기준으로도 2009년 4월28일 이후 13년4개월 만에 가장 높았다.	https://n.news.naver.com/mnews/article/022/0003730884?sid=101
20220901	환율 상승·수출 둔화... 2분기 국민소득 1.3% 줄었다	조선일보	1일 환율 17.3원 폭등해 1354.9원 1일 오후 인천 연수구 인천신항컨테이너 터미널에 컨테이너가 쌓여있다. /뉴시스 환율 상승과 수출 둔화 등의 영향으로 2분기 실질 국민총소득이 전분기 대비 1.3% 감소했다. 1일 서울 외환시장에서 달러화에 대한 원화 환율은 전날보다 17.3원 폭등하면서 1354.9원으로 거래를 마쳤다. 2009년 4월 28일 이후 13년 4개월 만에 최고치다. 이날 환율은 장중 1355.1원까지 치솟기도 했다. 원·달러 환율은 지난 6월 1300원대로 오른 뒤 13년 만의 고환율 상황이 계속 이어지고 있다. 환율이 상승해 원화 가치가 하락하면 실질 국민소득이 줄어드는 효과가 발생한다. 이날 한국은행이 발표한 ‘2분기 국민소득’에 따르면, 올해 2분기 실질 국민총소득은 468조4121억원으로 1분기보다 1.3% 줄었다. 작년 2~4분기 연속 감소하다 올 1분기에 증가세로 전환했는데 다시 하락한 것이다. 감소 폭도 2020년 2분기 이후 가장 컸다. 국민총소득은 우리 국민이 국내외에서 벌어들인 임금, 이자, 배당 등 소득에서 물가상승분을 제거해 실질적인 구매력을 보여주는 지표다. 국민 소득이 줄어든 것은 교역 조건이 악화됐기 때문이다. 2분기 실질 무역 손실은 분기 기준 역대 최대인 28조원으로 1분기보다 9조원 늘어났다. 원유 등 원자재 가격이 급등한 가운데 환율까지 상승하며 수입 물가 부담이 커진 탓이다. 주력 수출품인 메모리 반도체 가격 하락도 영향을 미쳤다. 우리 국민이 해외에서 벌어들인 급여와 이자 수익 등 소득에서 외국인이 국내에서 번 소득을 뺀 실질 국외순수취요소소득도 1분기보다 9000억원 감소했다. 국내 기업들이 배당을 늘리면서 외국인 배당 수익이 늘어났기 때문으로 보인다. 국민소득 감소는 소비·투자 감소로 이어지면서 내수를 위축시킬 가능성이 높다. 이 때문에 하반기 경기 둔화가 심해질 수 있다는 우려가 나온다. 한은에 따르면, 2분기 실질 국내총생산 성장률은 민간 소비 확대 덕에 0.7% 증가하기는 했지만, 수출 둔화 등의 문제가 드러났다. 순수출은 성장률을 높이기는커녕 1%포인트 끌어내렸다. 최정태 한은 국민계정부장은 “우크라이나 전쟁 장기화, 주요국 금리 인상 등에 따른 글로벌 경기 둔화 영향으로 수출 둔화 폭이 점차 확대되면서 우리 경제의 성장 흐름이 악화될 것”이라고 전망했다. 한은은 3, 4분기에 0.1~0.2%씩 성장하면 올해 성장률 전망치인 2.6%는 달성할 수 있다고 밝혔다.	https://n.news.naver.com/mnews/article/023/0003713532?sid=101
20220901	발표하는 최정태 한은 경제통계국 국민계정부장	뉴시스	최정태 한국은행 경제통계국 국민계정부장이 1일 서울 중구 한국은행에서 열린 2022년 2/4분기 국민소득 설명회에서 발표하고 있다. 2022.09.01. photo@newsis.com *재판매 및 DB 금지 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부로 보내주시면 적극 반영하겠습니다.	https://n.news.naver.com/mnews/article/003/0011396339?sid=004
20220901	반도체 수출도 26개월 만에 감소… 식어가는 ‘성장엔진’	서울신문	8월 무역수지 적자 역대 최대반도체 수출, 1년 전보다 7.8%↓고물가·고환율에 수입액은 급증주요국 긴축에 한국경제 ‘먹구름’소비 늘어 2분기 GDP 0.7% 증가무역적자에 국민총소득은 줄어 지난달 수출액이 566억 7000만 달러로 역대 8월 최고 수출 실적을 경신했지만 수입액은 더 크게 늘어 글로벌 금융위기 이후 14년 만에 5개월 연속 무역수지 적자를 기록했다. 1일 부산 남구 감만 및 신선대 부두에서 컨테이너 선적 및 하역 작업이 이뤄지고 있다. 부산 뉴시스지난달 우리나라의 무역 실적은 암울했다. 월 기준 역대 최대인 94억 7000만 달러의 무역적자가 발생했다. 주력 수출품인 반도체 수출이 26개월 만에 감소하는 등 5개월 연속 무역적자가 이어졌다. 최대 교역국인 중국과는 수교 이후 처음 4개월 연속 무역적자가 발생했다. 정부가 지난달 31일 엄중한 상황을 인식해 ‘수출 경쟁력 강화 전략’을 내놨지만 돌파구를 찾기가 쉽지 않다. 한국은행은 최근 경제전망을 통해 하반기 경기 하방 위험이 커지고 있다고 진단한 바 있다. 1일 산업통상자원부가 발표한 ‘8월 수출입 통계’에 따르면 8월 수출이 역대 최대인 566억 7000만 달러를 기록하며 2020년 11월 이후 22개월 연속 증가세가 이어졌다. 올해 8월까지 누적 수출액도 4678억 달러로 사상 최대다. 다만 6월 이후 증가율이 한 자릿수로 둔화됐고 주요 수출 15개 품목 중 반도체·석유화학 등 9개 품목이 감소했다. 우리 수출의 20%를 차지하는 반도체 수출은 107억 8000만 달러로 1년 전보다 7.8% 줄었다. 수출의 불확실성이 높아지는 가운데 수입액은 국제 에너지·원자재 가격 상승 등으로 급증하고 있다. 지난달 수입액은 661억 5000만 달러로 지난 3월 이후 6개월 연속 600억 달러대가 이어졌다. 원유·가스·석탄 등 3대 에너지원 수입액은 185억 2000만 달러로 총수입액의 28%를 차지했다. 수입 증가율이 지난해 6월 이후 15개월 연속 수출 증가율을 상회하면서 올해 1~8월 누적 무역적자가 역대 최대인 247억 2300만 달러에 달했다. 이창양 산업부 장관은 “지속되는 높은 에너지 가격, 주요국의 긴축정책으로 인한 글로벌 경기 둔화와 중국의 성장세 회복 지연, 반도체 가격 하락이 수출 증가세 둔화와 무역수지 악화를 유발하는 리스크 요인으로 작용하고 있다”고 말했다. 한국은행에 따르면 올해 2분기 민간소비는 전 분기보다 2.9% 증가했지만 수출은 3.1% 감소했다. 실질 국내총생산은 0.7% 성장했는데, 수출에서 수입을 뺀 순수출이 GDP 성장률을 1.0% 포인트 끌어내렸다. 교역조건 악화로 실질 무역손실이 19조원에서 28조원으로 확대되면서 2분기 실질 국민총소득은 1.3% 줄었다. GNI는 실질적인 우리 국민의 구매력과 생활수준을 나타내는 지표다. 달러 강세에 따른 원달러 환율 상승, 원자재 가격 급등 등으로 수입물가가 크게 뛰었지만 반도체 등 수출 가격은 그만큼 오르지 않았다.	https://n.news.naver.com/mnews/article/081/0003298757?sid=101
20220901	“민관 팀코리아 꾸려 제2 중동 붐”… 2조 금융 지원, 예타 완화	동아일보	인프라 사업 위주 수주 뛰어넘어문화 등 콘텐츠 사업 융합 구상… 원전-친환경 수주 지원도 강화해외수주 금액 年500억달러에 세계 건설시장 점유율 4위 목표 부산신항에서 비상경제회의 윤석열 대통령이 31일 오전 경남 창원시 진해구에 있는 부산신항을 방문해 ‘제7차 비상경제민생회의’를 주재했다. 윤 대통령은 “수출과 해외건설 수주가 한국 경제의 원동력이고 일자리 창출에 막중한 역할을 담당하고 있다”고 밝혔다. 창원=양회성 기자 yohan@donga.com공공기관이 해외 건설 사업을 수주할 때 걸림돌이 됐던 공공기관 예비타당성조사 면제 기준을 완화하고 금융지원 규모를 대폭 늘리는 등 정부가 해외 인프라 공사 수주 활성화에 나선다. 민관 합동 ‘팀 코리아’를 구성해 ‘제2의 중동 붐’을 일으키겠다는 계획이다. 국토교통부는 31일 경남 창원시 진해구 부산신항에서 윤석열 대통령 주재로 열린 ‘제7차 비상경제민생회의’에서 이 같은 내용이 담긴 ‘해외 인프라 수주 전략 활성화 전략’을 발표했다. 윤 대통령은 “ 대통령으로서 외교를 통해 직접 발로 뛰겠다”며 “팀 코리아로 똘똘 뭉친다면 제2의 해외 건설 붐은 반드시 실현될 것”이라고 했다. 정부는 이번 대책을 통해 해외 수주 금액을 연간 500억 달러로 끌어올리고 세계 건설시장 점유율 4위로 올라서는 것을 목표로 정했다. 엔데믹 이후 세계적으로 사우디아라비아 ‘네옴시티’, 인도네시아 신수도 이전, 폴란드 신공항 건설 등 굵직한 인프라 개발 프로젝트가 이어지고 있다. 반면 한국의 해외건설 수주 실적은 2010년 연 716억 달러로 정점을 찍은 뒤 하락세로 전환해 현재 연 300억 달러 안팎에 머무르고 있다. 최근 투자개발형 사업이나 친환경·원전 사업이 많아졌지만 수주 실적이 저조한 편이다. 우선 수주 경쟁력을 키우기 위해 민관 협력을 강화한다. 사우디 등 대규모 발주를 앞둔 국가에 장관 등 고위급이 방문하고 아시아 지역 수주에 나설 때는 금융 지원을 확대한다. 프로젝트도 도로나 철도, 다리 등 인프라 사업뿐만 아니라 문화 등 콘텐츠 사업과 융합해 사업을 수주할 계획이다. 네옴시티 사업 수주에 정부와 삼성 현대 대우 등 민간 건설사뿐만 아니라 K팝을 상징하는 SM엔터테인먼트가 합류하는 것도 이 같은 맥락에서다. 단순 도급을 넘어 지분 투자, 인프라 운영까지 요구하는 최근 발주 추세에 맞춰 금융 지원도 강화한다. 투자개발형 사업을 보증 등으로 지원하는 한국해외인프라도시개발지원공사 자본금 한도를 기존 5000억 원에서 2조 원으로 늘린다. KIND의 자본금이 늘어나면 프로젝트 재원 조달 등이 쉬워진다. 투자개발형 사업을 수주하면 인프라 운영 부문을 공공이 인수해 기업이 조기에 투자금을 회수하도록 하는 방안도 추진한다. 공공기관이 해외 민관협력 사업에 참여할 때 발목을 잡았던 예타 기준 금액도 현행 총사업비 1000억 원에서 2000억 원으로 올린다. 그동안은 예타를 받을 경우 시간상 해외 수주전 참여가 쉽지 않아 공기업이나 공공기관이 규모가 큰 사업에 쉽게 참여하지 못한다는 지적이 많았다. 예타 항목 중 공공성 항목을 통폐합하고 수익성 항목 비중을 확대한다. 원전·친환경 사업 수주를 위한 지원도 강화한다. 정부는 지난달 18일 출범한 원전수출전략 추진위원회를 통해 국가별 원전 수주 전략을 수립하고, 체코 폴란드 등 주요 원전 발주국에 고위급 외교단을 파견한다. 한국수출입은행은 중동 아람코, 카타르에너지 등 주요 에너지·친환경 사업 발주처와 총 500억 달러 규모의 기본여신 약정을 체결할 계획이다. 향후 여신 수요가 생겼을 때 수출입은행의 금융 지원 규모가 늘어 사업 수주에 유리해진다. 두성규 전 한국건설산업연구원 선임연구위원은 “당분간 국내 건설 경기 침체가 예상돼 해외 건설 수주의 필요성이 더 커지고 있다”며 “공공이 외교나 금융 지원 등을 확대해야 민간이 활발히 수주할 수 있을 것”이라고 했다.	https://n.news.naver.com/mnews/article/020/0003448541?sid=101
20220901	"한은 ""하반기에도 무역적자 흐름 이어질 것"""	뉴시스	"기사내용 요약8월 무역적자 94억7000만 달러…사상최대 한은 ""무역적자는 원자재 등 수입단가 상승 때문"" 김동영 기자 = 1일 오후 인천 연수구 인천신항컨테이너 터미널이 분주한 모습을 보이고 있다. 산업통상자원부가 이날 발표한 '2022년 8월 수출입 동향' 자료에 따르면 지난달 수출액은 566억7000만 달러로, 지난해 같은 기간 기록한 최고 실적을 웃돌며 역대 8월 최고 실적을 경신했다. 하지만 우리나라 무역수지가 수출 실적 최고기록 달성에도 글로벌 금융위기 이후 처음으로 5개월 연속 적자를 기록했다. 2022.09.01. dy0121@newsis.com 류난영 기자 = 8월 무역적자가 사상 최대치를 기록한 가운데, 한국은행이 올해 하반기에도 무역적자 흐름이 이어질 것으로 내다봤다. 1일 한은에 따르면 윤용준 한은 조사국 국제무역팀 차장은 한은 블로그를 통해 ""올해 하반기에도 국제유가가 높은 수준을 유지하는 가운데 글로벌 경기둔화의 영향이 본격화 되면서 무역적자 흐름이 이어질 것으로 예상된다""고 밝혔다. 또 ""미·중 갈등 교역 환경 등 불확실성을 감안할 때 예상보다 더 악화될 가능성이 잠재돼 있다""며 ""최근 무역적자 대부분이 수입 급증에 기인하는 만큼 원자재 가격이 안정될 경우 무역수지가 개선될 가능성도 있다""고 내다봤다. 산업통상자원부에 따르면 8월 수출은 지난해 같은 달보다 6.6% 늘어난 566억7000만 달러로, 수입은 28.2% 늘어난 661억5000만 달러로 집계됐다. 이에 따른 무역수지는 94억7000만 달러 적자를 나타냈다. 이는 5개월 연속 적자기록으로 2007년 12월~2008년 4월 이후 처음이다. 적자액도 1956년 무역통계 작성 이후 66년 만에 최대치다. 기존 최고 기록인 올해 1월의 두배에 가까운 수준이다. 한은은 무역 적자 배경에 대해 최근 무역적자 대부분이 수입단가 상승으로 인해 나타났으며 중국의 경기둔화 등에 따른 수출물량 축소도 일부 작용했다고 분석했다. 한은은 ""단기적·경기적 측면뿐만 아니라 국내 수출입 구조변화 측면에서도 점검해 볼 필요가 있다""고 짚었다. 수출구조 측면에서 과거 우리 무역흑자에 크게 기여했던 휴대폰·디스플레이 등이 중국업체와의 경쟁심화 등으로 수출이 감소세를 지속하면서 과거처럼 무역적자를 충분히 메워주지 못하고 있다는 분석이다. 또 수입구조 측면에서는 우리 경제의 글로벌 가치사슬 참여 확대로 생산에 필요한 중간재 수입 수요가 추세적으로 늘어나고 있기 때문이라고 분석했다．"	https://n.news.naver.com/mnews/article/003/0011397752?sid=101
